kind,api-version,name,policy,config-policy,standard,category,control,source,policy-dir
Group,user.openshift.io/v1,SreAdminGrp,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Group.SreAdminGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
Group,user.openshift.io/v1,AppX-AdminGrp,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Group.AppX-AdminGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
Group,user.openshift.io/v1,AppX-ViewGrp,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Group.AppX-ViewGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
Group,user.openshift.io/v1,AppY-AdminGrp,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Group.AppY-AdminGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
Group,user.openshift.io/v1,AppY-ViewGrp,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Group.AppY-ViewGrp.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
Namespace,v1,project-x,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Namespace.project-x.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
Namespace,v1,project-y,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/Namespace.project-y.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
ClusterRoleBinding,rbac.authorization.k8s.io/v1,SreAdmin-Binding,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/ClusterRoleBinding.SreAdmin-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
RoleBinding,rbac.authorization.k8s.io/v1,AppX-Admin-Binding,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/RoleBinding.AppX-Admin-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
RoleBinding,rbac.authorization.k8s.io/v1,AppX-View-Binding,policy-configure-appworkloads-rbac,policy-configure-appworkloads-rbac-example,NIST SP 800-53,AC Access Control,AC-3 Access Enforcement,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac/config-policies/policy-configure-appworkloads-rbac-example/RoleBinding.AppX-View-Binding.0.yaml,./work/c2p-output/parsed/AC-Access-Control/policy-configure-appworkloads-rbac-sample/policies/policy-configure-appworkloads-rbac
